Title,Directory Categories,Directory Tags,com,uidd,country
مركز القطرانة للتربية الخاصة,إعاقات ذهنية,الكرك|جهة حكومية,المراكز والمؤسسات,1552,الأردن
جمعية غور الصافي للتنمية الإجتماعية,إعاقات ذهنية,الكرك|جهة تطوعية,المراكز والمؤسسات,1553,الأردن
مركز مؤاب لذوي الإحتياجات الخاصة,إعاقات ذهنية,الكرك|جهة تطوعية,المراكز والمؤسسات,1554,الأردن
جمعية سيدات غور الصافي للتنمية الإجتماعية,إعاقات ذهنية,الكرك|جهة تطوعية,المراكز والمؤسسات,1555,الأردن
مركز الكرك للشلل الدماغي,إعاقات حركية,الكرك|جهة تطوعية,المراكز والمؤسسات,1556,الأردن
جمعية الكرك لرعاية ذوي الإعاقات الحركية,إعاقات حركية,الكرك|جهة تطوعية,المراكز والمؤسسات,1557,الأردن
جمعية البتراء للتربية الخاصة,إعاقات متعددة,جهة تطوعية|معان,المراكز والمؤسسات,1558,الأردن
جمعية الشراه الجنوبية للتربية الخاصة,إعاقات متعددة,جهة تطوعية|معان,المراكز والمؤسسات,1559,الأردن
جمعية الشوبك لرعاية الأيتام وذوي الإحتياجات الخاصة الخيرية,إعاقات متعددة,جهة تطوعية|معان,المراكز والمؤسسات,1560,الأردن
جمعية الحسينية لرعاية وتأهيل المعاقين,إعاقات متعددة,جهة تطوعية|معان,المراكز والمؤسسات,1561,الأردن
جمعية الراجف للتربية الخاصة,إعاقات متعددة,جهة تطوعية|معان,المراكز والمؤسسات,1562,الأردن
مركز الكورة الشامل للتربية الخاصة,إعاقات متعددة,إربد|جهة حكومية,المراكز والمؤسسات,1563,الأردن
الجمعية الهاشمية لرعاية وتأهيل المعاقين,إعاقات متعددة,إربد|جهة تطوعية,المراكز والمؤسسات,1564,الأردن
جمعية أصحاب الهمم للمعوقين,إعاقات متعددة,إربد|جهة تطوعية,المراكز والمؤسسات,1565,الأردن
